ISIN,ISSUER,COUNTRY,CPN,CPN_FREQ,MATURITY,CPN_TYP,CURRENCY,DS180,FLT_SPREAD,RESET_IDX,ISSUE_DT,TICKER,BULLET,REF_CURVE,DATE,LEVEL,PRICE_MO,CPN_RATE,CUM_CPN,FULL_PR,YTM,VAR
ARARGE3201A1,REPUBLIC OF ARGENTINA,AR,25.5,4,01/03/2018,FLOATING,ARS,ACT/ACT NON-EOM,275,BADLARPP,01/03/2016,ARGBON,TRUE,ar_ars,30/11/2017,1,0,0,0,0,0,NA
ARARGE03H348,REPUBLIC OF ARGENTINA,AR,24.22580645,4,11/03/2019,FLOATING,ARS,ACT/ACT NON-EOM,250,BADLARPP,11/03/2013,ARGBON,TRUE,ar_ars,30/11/2017,1,0,0,0,0,0,NA
ARARGE3201B9,REPUBLIC OF ARGENTINA,AR,26,4,01/03/2020,FLOATING,ARS,ACT/ACT NON-EOM,325,BADLARPP,01/03/2016,ARGBON,TRUE,ar_ars,30/11/2017,1,0,0,0,0,0,NA
ARARGE3203R1,REPUBLIC OF ARGENTINA,AR,24.22979302,4,03/04/2022,FLOATING,ARS,ACT/ACT NON-EOM,200,BADLARPP,03/04/2017,ARGBON,TRUE,ar_ars,30/11/2017,1,0,0,0,0,0,NA
ARARGE03G621,REPUBLIC OF ARGENTINA,AR,21.271875,4,04/10/2022,FLOATING,ARS,ACT/ACT NON-EOM,0,BADLARPP,22/02/2010,ARGBOC,FALSE,ar_ars,30/11/2017,1,0,0,0,0,0,NA
ARARGE3204M0,REPUBLIC OF ARGENTINA,AR,27.4750067,4,21/06/2020,FLOATING,ARS,ACT/ACT,0,ARPP7DRR,21/06/2017,ARGPOM,TRUE,ar_ars,30/11/2017,1,100,0,0,0,0,NA
ARBNAC030255,REPUBLIC OF ARGENTINA,AR,2,12,04/02/2018,VARIABLE,ARS,ACT/365,NA,NA,04/02/2002,ARGBOG,FALSE,ar_ars,30/11/2017,1,0,0,0,0,0,NA
ARARGE320283,BONCER,AR,2.5,2,22/07/2021,FIXED,ARS,ISMA-30/360 NONEOM,NA,NA,22/07/2016,BONCER,TRUE,ar_ars,30/11/2017,1,0,0,0,0,0,NA
ARARGE320093,REPUBLIC OF ARGENTINA,AR,2.4,2,18/03/2018,FIXED,USD,ISMA-30/360,NA,NA,18/11/2014,ARGBND,TRUE,ar_usd,30/11/2017,1,0,0,0,0,0,NA
US040114HK99,REPUBLIC OF ARGENTINA,AR,5.625,2,26/01/2022,FIXED,USD,ISMA-30/360,NA,NA,12/04/2017,ARGENT,TRUE,ar_usd,30/11/2017,1,0,0,0,0,0,NA
ARARGE03H413,REPUBLIC OF ARGENTINA,AR,8.75,2,07/05/2024,FIXED,USD,ISMA-30/360,NA,NA,07/05/2014,ARGBON,FALSE,ar_usd,30/11/2017,1,0,0,0,0,0,NA
ARBHIP5600O4,BANCO HIPOTECARIO SA,AR,25.94084249,4,20/02/2020,FLOATING,ARS,ACT/365 NON-EOM,320,BADLARPP,20/02/2017,BHIP,TRUE,ar_ars,30/11/2017,1,0,0,0,0,0,NA
ARBRIO5600D9,BANCO SANTANDER RIO SA,AR,25.51388587,4,22/02/2020,FLOATING,ARS,ACT/365 NON-EOM,277,BADLARPP,22/02/2017,BANRIO,TRUE,ar_ars,30/11/2017,1,100,0,0,0,0,NA
ARBRIO5600F4,BANCO SANTANDER RIO SA,AR,24.70007246,4,30/03/2020,FLOATING,ARS,ACT/365 NON-EOM,247,BADLARPP,30/03/2017,BANRIO,TRUE,ar_ars,30/11/2017,1,0,0,0,0,0,NA
ARITAU560074,BANCO ITAU ARGENTINA,AR,25.78343233,4,13/07/2019,FLOATING,ARS,ACT/365 NON-EOM,339,BADLARPP,13/07/2016,ITAU,TRUE,ar_ars,30/11/2017,1,0,0,0,0,0,NA
ARFRAN560094,BANCO FRANCES DEL RIO,AR,25.9065625,4,08/08/2019,FLOATING,ARS,ACT/365,323,BADLARPP,08/08/2016,BNFRAN,TRUE,ar_ars,30/11/2017,1,0,0,0,0,0,NA
ARFICR560057,BANCO CMF SA,AR,25.63607205,4,10/02/2018,FLOATING,ARS,ACT/365,294,BADLARPP,10/08/2016,BANCMF,TRUE,ar_ars,30/11/2017,1,0,0,0,0,0,NA
ARGPAT5600A4,GPAT CIA FINANCIERA SA,AR,25.96626812,4,24/01/2019,FLOATING,ARS,ACT/365 NON-EOM,344,BADLARPP,24/01/2017,BANSUD,TRUE,ar_ars,30/11/2017,1,0,0,0,0,0,NA
ARGPAT560065,GPAT CIA FINANCIERA SA,AR,25.45112782,4,14/06/2019,FLOATING,ARS,ACT/365,350,BADLARPP,14/06/2016,BANSUD,TRUE,ar_ars,30/11/2017,1,0,0,0,0,0,NA
ARGPAT5600E6,GPAT CIA FINANCIERA SA,AR,24.48988636,4,27/06/2020,FLOATING,ARS,ACT/365,397,BADLARPP,27/06/2017,BANSUD,TRUE,ar_ars,30/11/2017,1,0,0,0,0,0,NA
ARJDCC560022,JOHN DEERE CIA FINANCIER,AR,26.43007246,4,30/03/2018,FLOATING,ARS,ACT/365 NON-EOM,420,BADLARPP,30/03/2016,DE,TRUE,ar_ars,30/11/2017,1,0,0,0,0,0,NA
ARTACU5600D7,TARJETAS CUYANAS SA,AR,22.58531454,4,26/07/2020,FLOATING,ARS,ACT/365,3.94,BADLARPP,26/07/2016,GALIAR,TRUE,ar_ars,30/11/2017,1,0,0,0,0,0,NA
