ISSUER,ID_SURA,NEMOTECNICO,CARTERA,CPN,MATURITY,CURRENCY,INDUSTRY_GROUP,NOMINAL,PURCHASE_DATE,PURCHASE_YTM,COST_MO,COST_ARS,PRICE_MO,PRICE_ARS,MARKET_VAL_MO,MARKET_VAL_ARS,MARKET_VAL_USD,YTM,MD,SHARES
PSA FINANCE ARGENTINA,ON PSA FINANC ARG S26 V 1/2/20,PSSRO,100303969,0.2557655556,2020-02-01,ARS,Diversified Finan Serv,3700000,NA,0,0,0,100.08,100.08,3702960,3702960,185966.251506629,29.508,1.315,3700000
BANCO HIPOTECARIO SA,ON BCO.HIPOTE CL.49 V.14/2/20,BH49O,100303969,0.264125,2020-02-14,ARS,Banks,4000000,NA,0,0,0,100.072,100.072,4002880,4002880,201028.525512254,26.693,1.496,4000000
IND METALURGICAS PESCARM,ON IND MET PESCARMONA CL11 U$S,NMCBO,100303969,3,2016-06-18,USD,Energy-Alternate Sources,570000,NA,0,0,0,0,0,0,0,0,0,0,3700000
REPUBLIC OF ARGENTINA,BONO NAC ARG $ TBADLAR V.2019,AMX9P,100303969,BADLARPP + 2.5,2019-03-11,ARS,Sovereign,751781,NA,0,0,0,103,103,774334.43,774334.43,38887.827942949,27.457,0.85,751781
YPF SOCIEDAD ANONIMA,ON YPF SA CL 28 Vto 4/4/2024,YPCUO,100303969,0.0875,2024-04-04,USD,Oil&Gas,111000,NA,0,0,0,100.032,100.032,111035.52,2210939.27424,111035.52,10.725,3.936,111000
REPUBLIC OF ARGENTINA,BONO NACION ARG USD 875% 2024,AY24D,100303969,0.0875,2024-05-07,USD,Sovereign,276345,NA,0,0,0,100.039,100.039,276452.77455,5504727.6468396,276452.77455,14.043,2.897,276345
REPUBLIC OF ARGENTINA,BONO NACION ARG. U$S 2.4% 2018,AM18D,100303969,0.024,2018-03-18,USD,Sovereign,410000,NA,0,0,0,100.043,100.043,410176.3,8167430.4856,410176.3,15.927,0.069,410000
YPF SOCIEDAD ANONIMA,O.N. YPF S.A. CLASE 36 $ ESC.,YCA3O,100303969,BADLARPP + 4.74,2020-02-10,ARS,Oil&Gas,6100000,NA,0,0,0,111.527,111.527,6803147,6803147,341660.656890317,20.462,1.503,6100000
YPF SOCIEDAD ANONIMA,O.N. YPF S.A. CLASE 41 $ ESC,YCA8O,100303969,BADLARPP + 0,2020-09-24,ARS,Oil&Gas,96301,NA,0,0,0,99.862,99.862,96168.10462,96168.10462,4829.65571615106,42.009,1.017,96301
PAN AMERICAN ENERGY LLC,ON PAN AMERICAN ENERGY 8 $ CG.,PNC8O,100303969,BADLARPP + 0,2020-12-10,ARS,Oil&Gas,4587748,NA,0,0,0,94.743,94.743,4346570.08764,4346570.08764,218288.975875854,27.974,1.875,4587748
REPUBLIC OF ARGENTINA,BONO NACION ARG $ BADLAR+325,AM20P,100303969,BADLARPP + 3.25,2020-03-01,ARS,Sovereign,6000000,NA,0,0,0,109,109,6540000,6540000,328445.158698272,23.987,1.469,6000000
BANCO ITAU ARGENTINA,O.N. BCO. ITAU CL19 V 13/07/19,BTCKO,100303969,BADLARPP + 3.39,2019-07-13,ARS,Banks,5000000,NA,0,0,0,107.098,107.098,5354900,5354900,268928.284451587,22.504,1.12,5000000
BONCER,BONO TES NAC 25% $ 22/07/21,TC21P,100303969,0.025,2021-07-22,ARS,Sovereign,4860000,NA,0,0,0,132,132,6415200,6415200,322177.581357975,0,3.299,4860000
TARJETAS CUYANAS SA,ON T.CUYANAS C25 S2 V 26/07/20,51685,100303969,BADLARPP + 0.0394,2020-07-26,ARS,Diversified Finan Serv,6100000,NA,0,0,0,105.688,105.688,6446968,6446968,323773.001205303,20.668,1.818,6100000
TELECOM PERSONAL SA,ON TELECOM PERSONAL SERIE III,TLS3O,100303969,BADLARPP + 2.9,2018-05-16,ARS,Telecommunications,3160000,NA,0,0,0,102.009,102.009,3223484.4,3223484.4,161886.520691041,18.118,0.22,3160000
BANCO HIPOTECARIO SA,ON BCO.HIPOTECARIO CL. 42 V.20,52259,100303969,BADLARPP + 3.2,2020-02-20,ARS,Banks,8500000,NA,0,0,0,100.728,100.728,8561880,8561880,429985.938127762,25.637,1.521,8500000
