ISSUER,ID_SURA,NEMOTECNICO,CARTERA,CPN,MATURITY,CURRENCY,INDUSTRY_GROUP,NOMINAL,PRICE_MO,PRICE_ARS,MARKET_VAL_MO,MARKET_VAL_ARS,MARKET_VAL_USD,YTM,MD
REPUBLIC OF ARGENTINA,BONOS DEL TESORO $ TPM V.2020,TJ20,100303969,A+0%,2020-06-21,ARS,Sovereign,20000000,1.155,1.155,23100000,23100000,626330.273985603,34.052,1.195
PSA FINANCE ARGENTINA,ON PSA FINANC ARG S26 V 1/2/20,PSSRO,100303969,25.577%,2020-02-01,ARS,Diversified Finan Serv,3700000,1.043,1.0429,3858730,3858730,104625.083036211,23.683,1.148
BANCO HIPOTECARIO SA,ON BCO.HIPOTE CL.49 V.14/2/20,BH49O,100303969,26.413%,2020-02-14,ARS,Banks,4000000,0.892,0.8917,3566800,3566800,96709.732521725,37.48,1.121
REPUBLIC OF ARGENTINA,BONO NACION ARG $ V.06/03/20,A2M2P,100303969,4%,2020-03-06,ARS,Sovereign,10000000,1.05,1.05,10500000,10500000,284695.579084365,1.938,1.446
ARGENT LETRAS DEL TESORO,L.DEL TESORO $ 14/09/18,L2PS8,100303969,0%,2018-09-14,ARS,Sovereign,1935000,1.11,1.11,2147850,2147850,58236.5142415574,0,0.039
HSBC BANK ARGENTINA SA,ON HSBC BANK ARG C 9 $ 27/3/21,HSC9O,100303969,A+2.65%,2021-03-27,ARS,Banks,6000000,0.947,0.9471,5682600,5682600,154077.247400458,54.78,1.212
TARJETA NARANJA SA,ON TARJETA NARANJA CL.40 S2,T4020,100303969,B+3.69%,2020-10-10,ARS,Diversified Finan Serv,3000000,0.806,0.80613,2418390,2418390,65571.8991906511,70.434,0.988
REPUBLIC OF ARGENTINA,BONO NAC ARG $ TBADLAR V.2019,AMX9P,100303969,B+2.5%,2019-03-11,ARS,Sovereign,5751781,1.08,1.08,6211923.48,6211923.48,168429.25260632,38.961,0.427
YPF SOCIEDAD ANONIMA,ON YPF SA CL 28 Vto 4/4/2024,YPCUO,100303969,8.75%,2024-04-04,USD,Oil&Gas,111000,1.121,1.1213,124464.3,4590430.08045,124464.3,7.904,3.726
REPUBLIC OF ARGENTINA,BONO NACION ARG USD 8.75% 2024,AY24D,100303969,8.75%,2024-05-07,USD,Sovereign,250645,1,0.99998,250639.9871,9243978.68422865,250639.9871,15.17,2.486
YPF SOCIEDAD ANONIMA,O.N. YPF S.A. CLASE 36 $ ESC.,YCA3O,100303969,B+4.74%,2020-02-10,ARS,Oil&Gas,6100000,0.883,0.88311,5386971,5386971,146061.602700541,57.054,0.928
YPF SOCIEDAD ANONIMA,O.N. YPF S.A. CLASE 41 $ ESC,YCA8O,100303969,B+0%,2020-09-24,ARS,Oil&Gas,96301,1.001,1.00065,96363.59565,96363.59565,2612.78949202174,84.222,0.513
PAN AMERICAN ENERGY LLC,ON PAN AMERICAN ENERGY 8 $ CG.,PNC8O,100303969,B+0%,2020-12-10,ARS,Oil&Gas,4587748,0.88,0.87973,4035979.54804,4035979.54804,109431.003295419,52.153,1.249
REPUBLIC OF ARGENTINA,BONO NACION ARG $ BADLAR+325,AM20P,100303969,B+3.25%,2020-03-01,ARS,Sovereign,6000000,0.938,0.93789,5627340,5627340,152578.935238534,64.579,0.797
BANCO ITAU ARGENTINA,O.N. BCO. ITAU CL19 V 13/07/19,BTCKO,100303969,B+3.39%,2019-07-13,ARS,Banks,5000000,1.053,1.0531,5265500,5265500,142768.05444464,39.907,0.656
BONCER,BONO TES NAC 2.5% $ 22/07/21,TC21P,100303969,2.5%,2021-07-22,ARS,Sovereign,4860000,1.38,1.38,6706800,6706800,181847.267600287,0,2.807
TARJETAS CUYANAS SA,ON T.CUYANAS C25 S2 V 26/07/20,51685,100303969,B+0.0394%,2020-07-26,ARS,Diversified Finan Serv,6100000,0.9,0.89957,5487377,5487377,148783.997397069,49.759,1.163
BANCO HIPOTECARIO SA,ON BCO.HIPOTECARIO CL. 42 V.20,52259,100303969,B+3.2%,2020-02-20,ARS,Banks,8500000,0.894,0.89444,7602740,7602740,206139.663516939,53.435,0.966
BANCO SANTANDER RIO SA,ON BCO.SANTANDER RIO CL.17 V.2,52261,100303969,B+2.77%,2020-02-22,ARS,Banks,10000000,0.881,0.88101,8810100,8810100,238875.859170587,53.603,0.974
REPUBLIC OF ARGENTINA,BONO NACION ARG. $ BADLAR+200,AA22P,100303969,B+2%,2022-04-03,ARS,Sovereign,21000000,0.945,0.945,19845000,19845000,538074.644469449,50.324,1.494
ARCOR SAIC,O.N. ARCOR S.A.I.C. CL.11 V.03,RCCBO,100303969,B+2.99%,2021-05-03,ARS,Food,7000000,0.862,0.86228,6035960,6035960,163658.202621911,57.894,1.256
REPUBLIC OF ARGENTINA,BONOS DEL TESORO $ TPM V.2020,TJ20,53811008,A+0%,2020-06-21,ARS,Sovereign,387100000,1.155,1.155,447100500,447100500,12122622.4529913,34.052,1.195
