ISIN,DATE,TOTAL_CPN_DAYS,ACCOUNTING_YIELD,COUPON,CASH_FLOW,CAPITAL_AMORT,AMORTIZED_COST_OPEN,AMORTIZED_COST_CLOSE,COLLECTED_INTEREST
ARTANA5600C8,2017-01-02,0,181321.565822466,181321.565822466,-46463333,0,46463333,46644654.5658225,181321.565822466
ARTANA5600C8,2017-01-31,29,876387.568141918,876387.568141918,0,0,46644654.5658225,47521042.1339644,1057709.13396438
ARTANA5600C8,2017-02-28,28,846167.307171507,846167.307171507,0,0,47521042.1339644,48367209.4411359,1903876.44113589
ARTANA5600C8,2017-03-27,27,815947.046201096,815947.046201096,2719823.48733699,0,48367209.4411359,46463333,0.000000000349245965480804
ARTANA5600C8,2017-03-31,4,118653.349833699,118653.349833699,0,0,46463333,46581986.3498337,118653.349833699
ARTANA5600C8,2017-04-30,30,889900.12375274,889900.12375274,0,0,46581986.3498337,47471886.4735864,1008553.47358644
ARTANA5600C8,2017-05-31,31,919563.461211164,919563.461211164,0,0,47471886.4735864,48391449.9347976,1928116.9347976
ARTANA5600C8,2017-06-27,27,800910.111377466,800910.111377466,2729027.04617507,0,48391449.9347976,46463333,0.0000000000145519152283669
ARTANA5600C8,2017-06-30,3,91138.1459215068,91138.1459215068,0,0,46463333,46554471.1459215,91138.1459215069
ARTANA5600C8,2017-07-31,31,941760.841188904,941760.841188904,0,0,46554471.1459215,47496231.9871104,1032898.98711041
ARTANA5600C8,2017-08-31,31,941760.841188904,941760.841188904,0,0,47496231.9871104,48437992.8282993,1974659.82829932
ARTANA5600C8,2017-09-27,27,820243.313293562,820243.313293562,2794903.14159288,0,48437992.8282993,46463333,-0.0000000000582076609134674
ARTANA5600C8,2017-09-30,3,97343.8650550685,97343.8650550685,0,0,46463333,46560676.8650551,97343.8650550684
ARTANA5600C8,2017-10-31,31,1005886.60556904,1005886.60556904,0,0,46560676.8650551,47566563.4706241,1103230.47062411
ARTANA5600C8,2017-11-30,30,973438.650550685,973438.650550685,0,0,47566563.4706241,48540002.1211748,2076669.12117479
ARTANA5600C8,2017-12-27,27,876094.785495616,876094.785495616,2952763.90667041,0,48540002.1211748,46463333,-0.0000000000727595761418343
ARTANA5600C8,2017-12-31,4,137429.628237808,137429.628237808,0,0,46463333,46600762.6282378,137429.628237808
ARTANA5600C8,2018-01-31,31,1065079.61884301,1065079.61884301,0,0,46600762.6282378,47665842.2470808,1202509.24708082
ARTANA5600C8,2018-02-28,28,962007.397664658,962007.397664658,0,0,47665842.2470808,48627849.6447455,2164516.64474548
ARTANA5600C8,2018-03-27,27,927649.990605206,927649.990605206,3092166.63535069,0,48627849.6447455,46463333,0.000000000392901711165905
ARTANA5600C8,2018-03-31,4,135201.934189863,135201.934189863,0,0,46463333,46598534.9341899,135201.934189863
ARTANA5600C8,2018-04-30,30,1014014.50642397,1014014.50642397,0,0,46598534.9341899,47612549.4406138,1149216.44061384
ARTANA5600C8,2018-05-31,31,1047814.98997144,1047814.98997144,0,0,47612549.4406138,48660364.4305853,2197031.43058527
ARTANA5600C8,2018-06-27,27,912613.055781575,912613.055781575,3109644.48636685,0,48660364.4305853,46463333,0.000000000247382558882236
ARTANA5600C8,2018-06-30,3,101401.450642397,101401.450642397,0,0,46463333,46564734.4506424,101401.450642397
ARTANA5600C8,2018-07-31,31,1047814.98997144,1047814.98997144,0,0,46564734.4506424,47612549.4406138,1149216.44061384
ARTANA5600C8,2018-08-31,31,1047814.98997144,1047814.98997144,0,0,47612549.4406138,48660364.4305853,2197031.43058527
ARTANA5600C8,2018-09-27,27,912613.055781575,912613.055781575,3109644.48636685,0,48660364.4305853,46463333,0.000000000101863406598568
ARTANA5600C8,2018-09-30,3,101401.450642397,101401.450642397,0,0,46463333,46564734.4506424,101401.450642397
ARTANA5600C8,2018-10-31,31,1047814.98997144,1047814.98997144,0,0,46564734.4506424,47612549.4406138,1149216.44061384
ARTANA5600C8,2018-11-30,30,1014014.50642397,1014014.50642397,0,0,47612549.4406138,48626563.9470378,2163230.94703781
ARTANA5600C8,2018-12-27,27,912613.055781575,912613.055781575,3075844.00281938,0,48626563.9470378,46463333,0.0000000000727595761418343
ARTANA5600C8,2018-12-31,4,135201.934189863,135201.934189863,0,0,46463333,46598534.9341899,135201.934189863
ARTANA5600C8,2019-01-31,31,1047814.98997144,1047814.98997144,0,0,46598534.9341899,47646349.9241613,1183016.9241613
ARTANA5600C8,2019-02-28,28,946413.539329041,946413.539329041,0,0,47646349.9241613,48592763.4634903,2129430.46349034
ARTANA5600C8,2019-03-27,27,912613.055781575,912613.055781575,3042043.51927192,0,48592763.4634903,46463333,0.00000000027648638933897
ARTANA5600C8,2019-03-31,4,135201.934189863,135201.934189863,0,0,46463333,46598534.9341899,135201.934189863
ARTANA5600C8,2019-04-30,30,1014014.50642397,1014014.50642397,0,0,46598534.9341899,47612549.4406138,1149216.44061384
ARTANA5600C8,2019-05-31,31,1047814.98997144,1047814.98997144,0,0,47612549.4406138,48660364.4305853,2197031.43058527
ARTANA5600C8,2019-06-27,27,912613.055781575,912613.055781575,3109644.48636685,0,48660364.4305853,46463333,0.000000000130967237055302
ARTANA5600C8,2019-06-30,3,101401.450642397,101401.450642397,0,0,46463333,46564734.4506424,101401.450642397
ARTANA5600C8,2019-07-31,31,1047814.98997144,1047814.98997144,0,0,46564734.4506424,47612549.4406138,1149216.44061384
ARTANA5600C8,2019-08-31,31,1047814.98997144,1047814.98997144,0,0,47612549.4406138,48660364.4305853,2197031.43058527
ARTANA5600C8,2019-09-27,27,912613.055781575,912613.055781575,3109644.48636685,0,48660364.4305853,46463333,-0.0000000000145519152283669
ARTANA5600C8,2019-09-30,3,101401.450642397,101401.450642397,0,0,46463333,46564734.4506424,101401.450642397
ARTANA5600C8,2019-10-31,31,1047814.98997144,1047814.98997144,0,0,46564734.4506424,47612549.4406138,1149216.44061384
ARTANA5600C8,2019-11-30,30,1014014.50642397,1014014.50642397,0,0,47612549.4406138,48626563.9470378,2163230.94703781
ARTANA5600C8,2019-12-27,27,912613.055781575,912613.055781575,3075844.00281938,0,48626563.9470378,46463333,-0.0000000000436557456851006
ARTANA5600C8,2019-12-31,4,135201.934189863,135201.934189863,0,0,46463333,46598534.9341899,135201.934189863
ARTANA5600C8,2020-01-31,31,1047814.98997144,1047814.98997144,0,0,46598534.9341899,47646349.9241613,1183016.9241613
ARTANA5600C8,2020-02-29,29,980214.022876507,980214.022876507,0,0,47646349.9241613,48626563.9470378,2163230.94703781
ARTANA5600C8,2020-03-27,27,912613.055781575,912613.055781575,3075844.00281938,0,48626563.9470378,46463333,0.0000000000436557456851006
ARTANA5600C8,2020-03-31,4,135201.934189863,135201.934189863,0,0,46463333,46598534.9341899,135201.934189863
ARTANA5600C8,2020-04-30,30,1014014.50642397,1014014.50642397,0,0,46598534.9341899,47612549.4406138,1149216.44061384
ARTANA5600C8,2020-05-31,31,1047814.98997144,1047814.98997144,0,0,47612549.4406138,48660364.4305853,2197031.43058527
ARTANA5600C8,2020-06-27,27,912613.055781575,912613.055781575,3109644.48636685,0,48660364.4305853,46463333,-0.000000000101863406598568
ARTANA5600C8,2020-06-30,3,101401.450642397,101401.450642397,0,0,46463333,46564734.4506424,101401.450642397
ARTANA5600C8,2020-07-31,31,1047814.98997144,1047814.98997144,0,0,46564734.4506424,47612549.4406138,1149216.44061384
ARTANA5600C8,2020-08-31,31,1047814.98997144,1047814.98997144,0,0,47612549.4406138,48660364.4305853,2197031.43058527
ARTANA5600C8,2020-09-27,27,912613.055781575,912613.055781575,49572977.4863669,46463333,48660364.4305853,-0.00000000630097929388285,-0.00000000630097929388285
ARTANA5600C8,2020-09-30,3,0,0,0,0,-0.00000000630097929388285,-0.00000000630097929388285,-0.00000000630097929388285
ISIN,DATE,TOTAL_CPN_DAYS,ACCOUNTING_YIELD,COUPON,CASH_FLOW,CAPITAL_AMORT,AMORTIZED_COST_OPEN,AMORTIZED_COST_CLOSE,COLLECTED_INTEREST
ARROBE560051,2017-12-07,0,0.000000000931322574615479,0.000000000931322574615479,-50000000,0,50000000,50000000,0.000000000931322574615479
ARROBE560051,2017-12-31,24,941095.890410959,941095.890410959,0,0,50000000,50941095.890411,941095.89041096
ARROBE560051,2018-01-31,31,1215582.19178082,1215582.19178082,0,0,50941095.890411,52156678.0821918,2156678.08219178
ARROBE560051,2018-02-28,28,1097945.20547945,1097945.20547945,0,0,52156678.0821918,53254623.2876712,3254623.28767123
ARROBE560051,2018-03-31,31,1215582.19178082,1215582.19178082,0,0,53254623.2876712,54470205.4794521,4470205.47945206
ARROBE560051,2018-04-30,30,1176369.8630137,1176369.8630137,0,0,54470205.4794521,55646575.3424658,5646575.34246575
ARROBE560051,2018-05-31,31,1215582.19178082,1215582.19178082,0,0,55646575.3424658,56862157.5342466,6862157.53424658
ARROBE560051,2018-06-07,7,274486.301369863,274486.301369863,7136643.83561644,0,56862157.5342466,50000000,0
ARROBE560051,2018-06-30,23,813270.547945206,813270.547945206,0,0,50000000,50813270.5479452,813270.547945206
ARROBE560051,2018-07-31,31,1096147.26027397,1096147.26027397,0,0,50813270.5479452,51909417.8082192,1909417.80821918
ARROBE560051,2018-08-31,31,1096147.26027397,1096147.26027397,0,0,51909417.8082192,53005565.0684932,3005565.06849315
ARROBE560051,2018-09-30,30,1060787.67123288,1060787.67123288,0,0,53005565.0684932,54066352.739726,4066352.73972603
ARROBE560051,2018-10-31,31,1096147.26027397,1096147.26027397,0,0,54066352.739726,55162500,5162500
ARROBE560051,2018-11-30,30,1060787.67123288,1060787.67123288,0,0,55162500,56223287.6712329,6223287.67123288
ARROBE560051,2018-12-07,7,247517.123287671,247517.123287671,6470804.79452055,0,56223287.6712329,50000000,-0.000000000931322574615479
ARROBE560051,2018-12-31,24,848630.136986301,848630.136986301,0,0,50000000,50848630.1369863,848630.1369863
ARROBE560051,2019-01-31,31,1096147.26027397,1096147.26027397,0,0,50848630.1369863,51944777.3972603,1944777.39726027
ARROBE560051,2019-02-28,28,990068.493150685,990068.493150685,0,0,51944777.3972603,52934845.890411,2934845.89041096
ARROBE560051,2019-03-31,31,1096147.26027397,1096147.26027397,0,0,52934845.890411,54030993.1506849,4030993.15068493
ARROBE560051,2019-04-30,30,1060787.67123288,1060787.67123288,0,0,54030993.1506849,55091780.8219178,5091780.82191781
ARROBE560051,2019-05-31,31,1096147.26027397,1096147.26027397,0,0,55091780.8219178,56187928.0821918,6187928.08219178
