ISIN,DATE,TOTAL_CPN_DAYS,ACCOUNTING_YIELD,COUPON,CASH_FLOW,CAPITAL_AMORT,AMORTIZED_COST_OPEN,AMORTIZED_COST_CLOSE,COLLECTED_INTEREST
ARBRIO5600D9,30/03/2017,0,1796646.575,1796646.575,-8.00E+07,0,8.00E+07,81796646.58,1796646.575
ARBRIO5600D9,31/03/2017,1,49906.84932,49906.84932,0,0,81796646.58,81846553.42,1846553.425
ARBRIO5600D9,30/04/2017,30,1497205.479,1497205.479,0,0,81846553.42,83343758.9,3343758.904
ARBRIO5600D9,22/05/2017,22,1097950.685,1097950.685,4441709.589,0,83343758.9,8.00E+07,-4.22E-10
ARBRIO5600D9,31/05/2017,9,440531.5068,440531.5068,0,0,8.00E+07,80440531.51,440531.5068
ARBRIO5600D9,30/06/2017,30,1468438.356,1468438.356,0,0,80440531.51,81908969.86,1908969.863
ARBRIO5600D9,31/07/2017,31,1517386.301,1517386.301,0,0,81908969.86,83426356.16,3426356.164
ARBRIO5600D9,22/08/2017,22,1076854.795,1076854.795,4503210.959,0,83426356.16,8.00E+07,-8.29E-10
ARBRIO5600D9,31/08/2017,9,466421.9178,466421.9178,0,0,8.00E+07,80466421.92,466421.9178
ARBRIO5600D9,30/09/2017,30,1554739.726,1554739.726,0,0,80466421.92,82021161.64,2021161.644
ARBRIO5600D9,31/10/2017,31,1606564.384,1606564.384,0,0,82021161.64,83627726.03,3627726.027
ARBRIO5600D9,22/11/2017,22,1140142.466,1140142.466,4767868.493,0,83627726.03,8.00E+07,-7.71E-10
ARBRIO5600D9,30/11/2017,8,448569.863,448569.863,0,0,8.00E+07,80448569.86,448569.863
ARBRIO5600D9,31/12/2017,31,1738208.219,1738208.219,0,0,80448569.86,82186778.08,2186778.082
ARBRIO5600D9,22/02/2018,53,2971775.342,2971775.342,5158553.425,0,82186778.08,8.00E+07,-1.64E-09
ARBRIO5600D9,28/02/2018,6,337249.3151,337249.3151,0,0,8.00E+07,80337249.32,337249.3151
ARBRIO5600D9,31/03/2018,31,1742454.795,1742454.795,0,0,80337249.32,82079704.11,2079704.11
ARBRIO5600D9,30/04/2018,30,1686246.575,1686246.575,0,0,82079704.11,83765950.68,3765950.685
ARBRIO5600D9,22/05/2018,22,1236580.822,1236580.822,5002531.507,0,83765950.68,8.00E+07,-1.88E-09
ARBRIO5600D9,31/05/2018,9,505873.9726,505873.9726,0,0,8.00E+07,80505873.97,505873.9726
ARBRIO5600D9,30/06/2018,30,1686246.575,1686246.575,0,0,80505873.97,82192120.55,2192120.548
ARBRIO5600D9,31/07/2018,31,1742454.795,1742454.795,0,0,82192120.55,83934575.34,3934575.342
