ISIN,DAYS,EVENT,DATE,FIX_RATE,CPN_RATE,PERIOD,COUPON,PRINCIPAL,CASH_FLOW,AMORTIZED_COST_OPEN,AMORTIZED_COST_CLOSE,COLLECTED_INTEREST,DIFF_VS_REAL
ARTANA5600C8,0,purchase,2017-01-02,0,0,0,0,0,-46463333,46463333,46463333,0,0
ARTANA5600C8,84,coupon,2017-03-27,0.198125,0.238025,0.246575342465753,2726983.9324911,0,2726983.9324911,46463333,46463333,0,0
ARTANA5600C8,92,coupon,2017-06-27,0.190625,0.230525,0.252054794520548,2699748.78154493,0,2699748.78154493,46463333,46463333,0,0
ARTANA5600C8,92,coupon,2017-09-27,0.20125,0.24115,0.252054794520548,2824181.40622301,0,2824181.40622301,46463333,46463333,0,0
ARTANA5600C8,91,coupon,2017-12-27,0.215625,0.255525,0.249315068493151,2960003.91232623,0,2960003.91232623,46463333,46463333,0,0
ARTANA5600C8,90,coupon,2018-03-27,0.23,0.2699,0.246575342465753,3092166.63535069,0,3092166.63535069,46463333,46463333,0,0
ARTANA5600C8,92,coupon,2018-06-27,0.23,0.2699,0.252054794520548,3160881.44946959,0,3160881.44946959,46463333,46463333,0,0
ARTANA5600C8,92,coupon,2018-09-27,0.23,0.2699,0.252054794520548,3160881.44946959,0,3160881.44946959,46463333,46463333,0,0
ARTANA5600C8,91,coupon,2018-12-27,0.23,0.2699,0.249315068493151,3126524.04241014,0,3126524.04241014,46463333,46463333,0,0
ARTANA5600C8,90,coupon,2019-03-27,0.23,0.2699,0.246575342465753,3092166.63535069,0,3092166.63535069,46463333,46463333,0,0
ARTANA5600C8,92,coupon,2019-06-27,0.23,0.2699,0.252054794520548,3160881.44946959,0,3160881.44946959,46463333,46463333,0,0
ARTANA5600C8,92,coupon,2019-09-27,0.23,0.2699,0.252054794520548,3160881.44946959,0,3160881.44946959,46463333,46463333,0,0
ARTANA5600C8,91,coupon,2019-12-27,0.23,0.2699,0.249315068493151,3126524.04241014,0,3126524.04241014,46463333,46463333,0,0
ARTANA5600C8,91,coupon,2020-03-27,0.23,0.2699,0.249315068493151,3126524.04241014,0,3126524.04241014,46463333,46463333,0,0
ARTANA5600C8,92,coupon,2020-06-27,0.23,0.2699,0.252054794520548,3160881.44946959,0,3160881.44946959,46463333,46463333,0,0
ARTANA5600C8,92,coupon,2020-09-27,0.23,0.2699,0.252054794520548,3160881.44946959,46463333,49624214.4494696,46463333,0,-46463333,-49624214.4494696
ISIN,DAYS,EVENT,DATE,FIX_RATE,CPN_RATE,PERIOD,COUPON,PRINCIPAL,CASH_FLOW,AMORTIZED_COST_OPEN,AMORTIZED_COST_CLOSE,COLLECTED_INTEREST,DIFF_VS_REAL
ARROBE560051,0,purchase,2017-12-07,0,0,0,0,0,-50000000,50000000,50000000,0,0
ARROBE560051,182,coupon,2018-06-07,0.230625,0.265625,0.498630136986301,6622431.50684932,0,6622431.50684932,50000000,50000000,0,0
ARROBE560051,183,coupon,2018-12-07,0.23625,0.27125,0.501369863013699,6799828.76712329,0,6799828.76712329,50000000,50000000,0,0
ARROBE560051,182,coupon,2019-06-07,0.23625,0.27125,0.498630136986301,6762671.23287671,0,6762671.23287671,50000000,50000000,0,0
ARROBE560051,183,coupon,2019-12-07,0.23625,0.27125,0.501369863013699,6799828.76712329,0,6799828.76712329,50000000,50000000,0,0
ARROBE560051,183,coupon,2020-06-07,0.23625,0.27125,0.501369863013699,6799828.76712329,0,6799828.76712329,50000000,50000000,0,0
ARROBE560051,183,coupon,2020-12-07,0.23625,0.27125,0.501369863013699,6799828.76712329,50000000,56799828.7671233,50000000,0,-50000000,-56799828.7671233
ISIN,DAYS,EVENT,DATE,FIX_RATE,CPN_RATE,PERIOD,COUPON,PRINCIPAL,CASH_FLOW,AMORTIZED_COST_OPEN,AMORTIZED_COST_CLOSE,COLLECTED_INTEREST,DIFF_VS_REAL
ARARGE3204M0,0,purchase,2017-06-21,0,0,0,0,0,-170000000,170000000,170000000,0,0
ARARGE3204M0,92,coupon,2017-09-21,0.2625,0.2625,0.252054794520548,11247945.2054795,0,11247945.2054795,170000000,170000000,0,0
ARARGE3204M0,91,coupon,2017-12-21,0.2625,0.2625,0.249315068493151,11125684.9315068,0,11125684.9315068,170000000,170000000,0,0
ARARGE3204M0,90,coupon,2018-03-21,0.2875,0.2875,0.246575342465753,12051369.8630137,0,12051369.8630137,170000000,170000000,0,0
ARARGE3204M0,92,coupon,2018-06-21,0.2725,0.2725,0.252054794520548,11676438.3561644,0,11676438.3561644,170000000,170000000,0,0
ARARGE3204M0,92,coupon,2018-09-21,0.2725,0.2725,0.252054794520548,11676438.3561644,0,11676438.3561644,170000000,170000000,0,0
ARARGE3204M0,91,coupon,2018-12-21,0.2725,0.2725,0.249315068493151,11549520.5479452,0,11549520.5479452,170000000,170000000,0,0
ARARGE3204M0,90,coupon,2019-03-21,0.2725,0.2725,0.246575342465753,11422602.739726,0,11422602.739726,170000000,170000000,0,0
ARARGE3204M0,92,coupon,2019-06-21,0.2725,0.2725,0.252054794520548,11676438.3561644,0,11676438.3561644,170000000,170000000,0,0
ARARGE3204M0,92,coupon,2019-09-21,0.2725,0.2725,0.252054794520548,11676438.3561644,0,11676438.3561644,170000000,170000000,0,0
ARARGE3204M0,91,coupon,2019-12-21,0.2725,0.2725,0.249315068493151,11549520.5479452,0,11549520.5479452,170000000,170000000,0,0
ARARGE3204M0,91,coupon,2020-03-21,0.2725,0.2725,0.249307582902912,11549173.7779774,0,11549173.7779774,170000000,170000000,0,0
ARARGE3204M0,92,coupon,2020-06-21,0.2725,0.2725,0.252054794520548,11676438.3561644,170000000,181676438.356164,170000000,0,-170000000,-181676438.356164
